ds,yhat,yhat_lower,yhat_upper
2018-01-01 13:30:00,8629.308990753681,7904.901550185964,9366.830857951036
2018-01-01 14:00:00,8772.805456954296,8014.404408179407,9502.592820863409
2018-01-01 14:30:00,8911.972408391208,8150.912951350837,9607.507125680953
2018-01-01 15:00:00,9037.66015886545,8327.35341708772,9794.657008020542
2018-01-01 15:30:00,9140.583488573493,8391.710404337384,9920.599167861745
2018-01-01 16:00:00,9212.342468474222,8462.358876271337,9965.674342068936
2018-01-01 16:30:00,9246.388357491294,8537.741712700168,10020.566996228237
2018-01-01 17:00:00,9238.824345236413,8534.890226780124,9963.20419658908
2018-01-01 17:30:00,9188.921358869566,8441.338157480614,9937.358823234183
2018-01-01 18:00:00,9099.241110883948,8319.311384970928,9818.185231514864
2018-01-01 18:30:00,8975.299397536754,8207.10069224422,9687.051436852042
2018-01-01 19:00:00,8824.77165998822,8066.755802581243,9524.444520566029
2018-01-01 19:30:00,8656.32980422912,7869.044073287055,9391.03324712824
2018-01-01 20:00:00,8478.286022301483,7739.847951524213,9150.753825662858
2018-01-01 20:30:00,8297.283735523779,7553.152389593534,9009.840349288075
2018-01-01 21:00:00,8117.29754223303,7410.401120739964,8874.263478365307
2018-01-01 21:30:00,7939.170787057874,7188.425459936149,8653.035434720596
2018-01-01 22:00:00,7760.830900698436,7055.946723444947,8478.27511262808
2018-01-01 22:30:00,7578.192588876743,6864.7961735121935,8285.9992844898
2018-01-01 23:00:00,7386.61264809787,6645.584976557272,8117.010642646528
2018-01-01 23:30:00,7182.629549936893,6452.339703938688,7954.819371520532
2018-01-02 00:00:00,6965.63705445678,6240.718731361687,7716.9838316927335
2018-01-02 00:30:00,6739.126623054366,5957.825040623388,7536.955266852363
2018-01-02 01:00:00,6511.196465946569,5805.120206844181,7204.134951767197
2018-01-02 01:30:00,6294.156567670103,5571.768115843734,7033.774464627153
2018-01-02 02:00:00,6103.233914328708,5334.407412131539,6869.6004636846865
2018-01-02 02:30:00,5954.564420548634,5229.253915360438,6706.468323634073
2018-01-02 03:00:00,5862.808969900698,5148.117345798607,6555.994834165809
2018-01-02 03:30:00,5838.817572029657,5140.938793910945,6527.204534567529
2018-01-02 04:00:00,5887.768526077089,5169.2126122912705,6640.8964482698175
2018-01-02 04:30:00,6008.127265852645,5227.936070429645,6749.707971336752
2018-01-02 05:00:00,6191.6192473325855,5432.931547479646,6880.369591319269
2018-01-02 05:30:00,6424.224294061883,5663.142602363937,7145.390823482996
2018-01-02 06:00:00,6688.014998655031,5910.966704100271,7436.511643185996
2018-01-02 06:30:00,6963.516373987476,6228.314228397556,7690.337340880077
2018-01-02 07:00:00,7232.185563948796,6519.217829646574,7956.522457130337
2018-01-02 07:30:00,7478.611283805227,6745.88219290059,8225.17577208126
2018-01-02 08:00:00,7692.107620676481,6962.973337308574,8470.069842017623
2018-01-02 08:30:00,7867.505518799332,7155.488594725608,8627.816300912773
2018-01-02 09:00:00,8005.097644887996,7240.0031415192,8731.196344122498
2018-01-02 09:30:00,8109.836048962926,7344.098720867792,8801.617292497376
2018-01-02 10:00:00,8189.989973816117,7440.586588220819,8972.162525432166
2018-01-02 10:30:00,8255.52700763549,7531.8376998320455,8980.591529459147
2018-01-02 11:00:00,8316.481574640917,7559.020911751262,9058.261067752475
2018-01-02 11:30:00,8381.530016586928,7650.565801915288,9066.827436130845
2018-01-02 12:00:00,8456.919247834738,7734.233286401868,9128.47147774007
2018-01-02 12:30:00,8545.81703949298,7822.34035483412,9237.272212505812
2018-01-02 13:00:00,8648.08438844669,7953.550633487015,9408.662285731685
2018-01-02 13:30:00,8760.424956795114,8036.992042664765,9436.673509859695
2018-01-02 14:00:00,8876.845090887029,8158.941597546044,9612.46875139705
2018-01-02 14:30:00,8989.354436424146,8182.573111306127,9711.94215148517
2018-01-02 15:00:00,9088.84114656352,8345.289923587947,9808.040816965828
2018-01-02 15:30:00,9166.056618355506,8434.085887682388,9938.667530264394
2018-01-02 16:00:00,9212.636253189487,8480.36454554638,9951.627213285476
2018-01-02 16:30:00,9222.065293803582,8468.23782339789,9988.75309789379
2018-01-02 17:00:00,9190.47951063739,8463.351462653944,9890.929686851543
2018-01-02 17:30:00,9117.180956306145,8413.539245306474,9858.711377230567
2018-01-02 18:00:00,9004.760965164643,8281.115403907494,9711.460929662237
2018-01-02 18:30:00,8858.763407476128,8183.6005636129685,9587.42798612091
